GENART;LDATE;DLNR;DLNRBEZ;NARTNR;QTY_POS
4921;"2024";101;"FEBI BILSTEIN";"171772";2366
4921;"2024";101;"FEBI BILSTEIN";"171748";1837
4921;"2024";68;"ZF";"1087298364";10258
4921;"2024";144;"MEYLE";"0141351402";1885
4921;"2024";68;"ZF";"1068298084";146
4921;"2024";162;"VAICO";"V103223";4805
4921;"2024";144;"MEYLE";"0141350200";216
4921;"2024";162;"VAICO";"V103220BEK";690
4921;"2024";162;"VAICO";"V103025XXL";2008
4921;"2024";101;"FEBI BILSTEIN";"176874";99
4921;"2024";144;"MEYLE";"1001350108";817
4921;"2024";144;"MEYLE";"3001351005";712
4921;"2024";101;"FEBI BILSTEIN";"176899";9
4921;"2024";144;"MEYLE";"0141350300";2667
4921;"2024";144;"MEYLE";"1001350003";568
4921;"2024";144;"MEYLE";"1001350115SK";684
4921;"2024";162;"VAICO";"V105546";21
4921;"2024";144;"MEYLE";"0141351202";1146
4921;"2024";144;"MEYLE";"1001350109";1249
4921;"2024";68;"ZF";"1087298369";864
4921;"2024";144;"MEYLE";"7141350004";98
4921;"2024";144;"MEYLE";"0141350200SK";37
4921;"2024";68;"ZF";"5961308444";64
4921;"2024";144;"MEYLE";"3001351006";81
4921;"2024";144;"MEYLE";"2141350100";184
4921;"2024";144;"MEYLE";"0141350305XK";398
4921;"2024";209;"TRUCKTEC AUTOMOTIVE";"0825064";21
4921;"2024";209;"TRUCKTEC AUTOMOTIVE";"0825065";59
4921;"2024";68;"ZF";"1102298019";65
4921;"2024";4342;"TCMATIC";"1051110018";63
4921;"2024";4342;"TCMATIC";"1051010013";16
4921;"2024";4342;"TCMATIC";"1051070002";36
4921;"2024";4342;"TCMATIC";"1051090001";22
4921;"2024";68;"ZF";"1102298020";39
4921;"2024";4342;"TCMATIC";"1051070005";14
4921;"2024";68;"ZF";"1060298072";131
4921;"2024";4342;"TCMATIC";"1051060005";55
4921;"2024";1368;"_DEL_A.I.C. Competition Line";"73977SET";1
4921;"2024";68;"ZF";"1068298054";48
4921;"2024";162;"VAICO";"V402114";521
4921;"2024";6558;"AIC";"70937SET";16
4921;"2024";162;"VAICO";"V302253BEK";74
4921;"2024";6558;"AIC";"74780SET";202
4921;"2024";162;"VAICO";"V103231XXL";100
4921;"2024";162;"VAICO";"V103222BEK";71
4921;"2024";162;"VAICO";"V520389";71
4921;"2024";144;"MEYLE";"3001350001";195
4921;"2024";162;"VAICO";"V202089XXL";88
4921;"2024";162;"VAICO";"V103228";25
4921;"2024";144;"MEYLE";"1001350016SK";50
4921;"2024";68;"ZF";"5961308375";257
4921;"2024";144;"MEYLE";"0141351202XK";328
4921;"2024";4342;"TCMATIC";"1051010006";5
4921;"2024";162;"VAICO";"V202089";165
4921;"2024";162;"VAICO";"V103218BEK";38
4921;"2024";162;"VAICO";"V103225XXL";62
4921;"2024";162;"VAICO";"V202082BEK";18
4921;"2024";144;"MEYLE";"18141350100";13
4921;"2024";68;"ZF";"1087298367";7
4921;"2024";144;"MEYLE";"0141351600XK";25
4921;"2024";4342;"TCMATIC";"1051050003";6
4921;"2024";162;"VAICO";"V202094BEK";28
4921;"2024";162;"VAICO";"V103214XXL";21
4921;"2024";4342;"TCMATIC";"1051120002";9
4921;"2024";162;"VAICO";"V252191BEK";36
4921;"2024";162;"VAICO";"V202094XXL";8
4921;"2024";101;"FEBI BILSTEIN";"188364";65
4921;"2024";162;"VAICO";"V250797";63
4921;"2024";4342;"TCMATIC";"1051061012";1
4921;"2024";162;"VAICO";"V380222BEK";19
4921;"2024";68;"ZF";"1109298030";38
4921;"2024";162;"VAICO";"V304427XXL";17
4921;"2024";6558;"AIC";"73964SET";18
4921;"2024";81;"HENGST FILTER";"KIT821";13
4921;"2024";151;"SWAG";"33110283";2
4921;"2024";4342;"TCMATIC";"1051060012";12
4921;"2024";4342;"TCMATIC";"1051110007";6
4921;"2024";81;"HENGST FILTER";"KIT820";9
4921;"2024";81;"HENGST FILTER";"KIT827";1
4921;"2024";4342;"TCMATIC";"1051010003";1
4921;"2024";6558;"AIC";"74776SET";1
4921;"2024";162;"VAICO";"V108038XXL";4
4921;"2024";162;"VAICO";"V320194";64
4921;"2024";81;"HENGST FILTER";"KIT823";3
4921;"2024";6558;"AIC";"73982SET";22
4921;"2024";4972;"ASYSUM";"FMMB0004XXL";1
4921;"2024";162;"VAICO";"V330525";19
4921;"2024";4342;"TCMATIC";"1051112012";1
4921;"2024";162;"VAICO";"V103217";35
4921;"2024";162;"VAICO";"V108037BEK";2
4921;"2024";6558;"AIC";"73976SET";4
4921;"2024";162;"VAICO";"V202081BEK";3
4921;"2024";162;"VAICO";"V510650XXL";2
4921;"2024";144;"MEYLE";"11141350002XK";3
4921;"2024";1368;"_DEL_A.I.C. Competition Line";"70937SET";3
4921;"2024";162;"VAICO";"V103230BEK";2
4921;"2024";4342;"TCMATIC";"1051011013";2
4921;"2024";4342;"TCMATIC";"1051060019";1
4921;"2024";144;"MEYLE";"5141350401";4
4921;"2024";144;"MEYLE";"1001350110";1
4921;"2024";4342;"TCMATIC";"1051011011";1
4921;"2024";4342;"TCMATIC";"1051010035";1
4921;"2024";162;"VAICO";"V330884XXL";1
4921;"2024";68;"ZF";"1087298368";1078
4921;"2024";101;"FEBI BILSTEIN";"176877";1856
4921;"2024";101;"FEBI BILSTEIN";"171750";1926
4921;"2024";68;"ZF";"5961308601";1083
4921;"2024";68;"ZF";"1103298006";992
4921;"2024";162;"VAICO";"V105390XXL";328
4921;"2024";162;"VAICO";"V302377";3906
4921;"2024";68;"ZF";"5961303275";1459
4921;"2024";144;"MEYLE";"1001350103";3540
4921;"2024";101;"FEBI BILSTEIN";"176814";117
4921;"2024";144;"MEYLE";"1001350115";845
4921;"2024";144;"MEYLE";"0141350213XK";117
4921;"2024";144;"MEYLE";"1001350130";318
4921;"2024";144;"MEYLE";"0141350213";370
4921;"2024";162;"VAICO";"V302257XXL";430
4921;"2024";68;"ZF";"5961306996";170
4921;"2024";162;"VAICO";"V204300";1929
4921;"2024";68;"ZF";"5961308407";94
4921;"2024";68;"ZF";"1090298127";138
4921;"2024";4416;"GCG TURBOS AUSTRALIA";"RYRTK222";1
4921;"2024";162;"VAICO";"V302257";3160
4921;"2024";162;"VAICO";"V302255BEK";5
4921;"2024";162;"VAICO";"V202081";16
4921;"2024";162;"VAICO";"V220737";295
4921;"2024";162;"VAICO";"V302256XXL";518
4921;"2024";144;"MEYLE";"1001350108XK";52
4921;"2024";144;"MEYLE";"1001350016";126
4921;"2024";68;"ZF";"1087298361";531
4921;"2024";144;"MEYLE";"1001350103XK";480
4921;"2024";144;"MEYLE";"1001350101";182
4921;"2024";144;"MEYLE";"7141350004SK";15
4921;"2024";68;"ZF";"1111298032";75
4921;"2024";162;"VAICO";"V103218XXL";37
4921;"2024";68;"ZF";"1104298050";53
4921;"2024";162;"VAICO";"V401605";1078
4921;"2024";162;"VAICO";"V105582SP1";871
4921;"2024";162;"VAICO";"V302254SP";337
4921;"2024";162;"VAICO";"V303696BEK";21
4921;"2024";162;"VAICO";"V104991SP";717
4921;"2024";162;"VAICO";"V461378";96
4921;"2024";144;"MEYLE";"1001350001";279
4921;"2024";101;"FEBI BILSTEIN";"176859";52
4921;"2024";144;"MEYLE";"3001350402";92
4921;"2024";144;"MEYLE";"3001350403SK";28
4921;"2024";162;"VAICO";"V252253XXL";16
4921;"2024";4342;"TCMATIC";"1051010019";14
4921;"2024";144;"MEYLE";"1001350111";7
4921;"2024";162;"VAICO";"V320194BEK";10
4921;"2024";68;"ZF";"5961308203";6
4921;"2024";4342;"TCMATIC";"1051020008";8
4921;"2024";4342;"TCMATIC";"1051082004";3
4921;"2024";144;"MEYLE";"1001350101SK";19
4921;"2024";162;"VAICO";"V450138BEK";7
4921;"2024";144;"MEYLE";"0141351600SK";90
4921;"2024";4342;"TCMATIC";"1051110024";1
4921;"2024";162;"VAICO";"V103228BEK";14
4921;"2024";162;"VAICO";"V520389XXL";3
4921;"2024";68;"ZF";"1087298362";6
4921;"2024";4342;"TCMATIC";"1051060022";8
4921;"2024";144;"MEYLE";"1001350016XK";7
4921;"2024";144;"MEYLE";"1001350101XK";15
4921;"2024";144;"MEYLE";"1001350015";14
4921;"2024";4342;"TCMATIC";"1051060021";2
4921;"2024";6558;"AIC";"73974SET";13
4921;"2024";162;"VAICO";"V103227BEK";18
4921;"2024";4342;"TCMATIC";"1051110012";23
4921;"2024";162;"VAICO";"V450189XXL";25
4921;"2024";4011;"TECNECO FILTERS";"AT144";5
4921;"2024";144;"MEYLE";"1001350113SK";4
4921;"2024";6558;"AIC";"73969SET";7
4921;"2024";4342;"TCMATIC";"1051111025";3
4921;"2024";162;"VAICO";"V103221XXL";11
4921;"2024";144;"MEYLE";"1001350013XK";45
4921;"2024";162;"VAICO";"V103293";3
4921;"2024";4342;"TCMATIC";"1051181002";3
4921;"2024";4342;"TCMATIC";"1051060006";1
4921;"2024";4342;"TCMATIC";"1051010080";1
4921;"2024";4342;"TCMATIC";"1051110040";1
4921;"2024";4342;"TCMATIC";"1051110021";1
4921;"2024";68;"ZF";"1087298448";1
4921;"2024";162;"VAICO";"V580004";11
4921;"2024";144;"MEYLE";"1001350112XK";13
4921;"2024";4342;"TCMATIC";"1051040002";1
4921;"2024";4342;"TCMATIC";"1051080001";4
4921;"2024";4342;"TCMATIC";"1051040001";1
4921;"2024";6558;"AIC";"70033SET";4
4921;"2024";144;"MEYLE";"7141350003XK";1
4921;"2024";4342;"TCMATIC";"1051071005";1
4921;"2024";6558;"AIC";"70936SET";1
4921;"2024";6558;"AIC";"74790SET";1
4921;"2024";144;"MEYLE";"1001350102";15395
4921;"2024";101;"FEBI BILSTEIN";"171754";582
4921;"2024";162;"VAICO";"V104991";4840
4921;"2024";101;"FEBI BILSTEIN";"176857";475
4921;"2024";162;"VAICO";"V105390";2965
4921;"2024";162;"VAICO";"V302253";578
4921;"2024";68;"ZF";"1060298070";225
4921;"2024";68;"ZF";"1104298054";16
4921;"2024";144;"MEYLE";"0141350200XK";23
4921;"2024";162;"VAICO";"V303957BEK";38
4921;"2024";144;"MEYLE";"1001350116XK";234
4921;"2024";144;"MEYLE";"0141350204";696
4921;"2024";162;"VAICO";"V520470XXL";28
4921;"2024";4342;"TCMATIC";"1051010014";12
4921;"2024";144;"MEYLE";"1001350108SK";215
4921;"2024";144;"MEYLE";"4141350001SK";67
4921;"2024";68;"ZF";"1102298021";26
4921;"2024";4342;"TCMATIC";"1051080007";4
4921;"2024";101;"FEBI BILSTEIN";"176860";25
4921;"2024";101;"FEBI BILSTEIN";"179355";52
4921;"2024";144;"MEYLE";"1001350005";81
4921;"2024";144;"MEYLE";"1001350014XK";70
4921;"2024";144;"MEYLE";"1001350113";9
4921;"2024";4342;"TCMATIC";"1051010012";17
4921;"2024";162;"VAICO";"V204670";413
4921;"2024";162;"VAICO";"V520470BEK";36
4921;"2024";68;"ZF";"5961308373";173
4921;"2024";144;"MEYLE";"3001350310SK";27
4921;"2024";162;"VAICO";"V103216";32
4921;"2024";4342;"TCMATIC";"1051060011";17
4921;"2024";4342;"TCMATIC";"1051030001";2
4921;"2024";144;"MEYLE";"3001350401SK";11
4921;"2024";68;"ZF";"1084298014";45
4921;"2024";144;"MEYLE";"3001350310XK";6
4921;"2024";68;"ZF";"1087298366";7
4921;"2024";162;"VAICO";"V202083BEK";10
4921;"2024";162;"VAICO";"V103847XXL";23
4921;"2024";68;"ZF";"1087298363";7
4921;"2024";162;"VAICO";"V107344XXL";6
4921;"2024";144;"MEYLE";"1001350001XK";20
4921;"2024";162;"VAICO";"V103217BEK";16
4921;"2024";162;"VAICO";"V304427";36
4921;"2024";144;"MEYLE";"1001350012XK";14
4921;"2024";162;"VAICO";"V202084BEK";14
4921;"2024";162;"VAICO";"V303957SP";43
4921;"2024";101;"FEBI BILSTEIN";"188328";17
4921;"2024";144;"MEYLE";"3001350001SK";28
4921;"2024";162;"VAICO";"V202084XXL";31
4921;"2024";144;"MEYLE";"3001350314XK";4
4921;"2024";6558;"AIC";"73968SET";9
4921;"2024";1368;"_DEL_A.I.C. Competition Line";"73978SET";1
4921;"2024";151;"SWAG";"33108308";26
4921;"2024";162;"VAICO";"V103229BEK";3
4921;"2024";4342;"TCMATIC";"1051062005";1
4921;"2024";162;"VAICO";"V109399XXL";2
4921;"2024";6558;"AIC";"73963SET";8
4921;"2024";6558;"AIC";"73977SET";10
4921;"2024";6558;"AIC";"70678SET";6
4921;"2024";144;"MEYLE";"3001350306XK";13
4921;"2024";6558;"AIC";"74785SET";3
4921;"2024";144;"MEYLE";"1001350005XK";4
4921;"2024";162;"VAICO";"V202095BEK";1
4921;"2024";151;"SWAG";"33110335";1
4921;"2024";6558;"AIC";"30065";1
4921;"2024";4342;"TCMATIC";"1051192001";1
4921;"2024";4342;"TCMATIC";"1051080018";1
4921;"2024";6558;"AIC";"70934SET";1
4921;"2024";6558;"AIC";"74789SET";3
4921;"2024";101;"FEBI BILSTEIN";"171762";6718
4921;"2024";68;"ZF";"1068298062";2821
4921;"2024";68;"ZF";"1090298126";338
4921;"2024";144;"MEYLE";"0141351404";2714
4921;"2024";101;"FEBI BILSTEIN";"171776";218
4921;"2024";101;"FEBI BILSTEIN";"171769";278
4921;"2024";68;"ZF";"1071298039";480
4921;"2024";162;"VAICO";"V105540";582
4921;"2024";162;"VAICO";"V103025";8220
4921;"2024";162;"VAICO";"V105582";3140
4921;"2024";68;"ZF";"1058298048";80
4921;"2024";68;"ZF";"5961308447";149
4921;"2024";101;"FEBI BILSTEIN";"176892";117
4921;"2024";144;"MEYLE";"0141350305";3009
4921;"2024";144;"MEYLE";"1001350013";331
4921;"2024";144;"MEYLE";"1001350003SK";55
4921;"2024";162;"VAICO";"V103222";253
4921;"2024";162;"VAICO";"V204186";1503
4921;"2024";101;"FEBI BILSTEIN";"176856";146
4921;"2024";68;"ZF";"1068298061";245
4921;"2024";68;"ZF";"5961308408";80
4921;"2024";68;"ZF";"5961308587";145
4921;"2024";101;"FEBI BILSTEIN";"171774";132
4921;"2024";144;"MEYLE";"1001350102XK";991
4921;"2024";68;"ZF";"1103298113";92
4921;"2024";162;"VAICO";"V302256";1889
4921;"2024";144;"MEYLE";"3001350401";35
4921;"2024";162;"VAICO";"V104991XXL";910
4921;"2024";144;"MEYLE";"1001350014";553
4921;"2024";144;"MEYLE";"1001350114SK";753
4921;"2024";144;"MEYLE";"1001350018";5
4921;"2024";144;"MEYLE";"1001350114XK";367
4921;"2024";4342;"TCMATIC";"1051020003";23
4921;"2024";144;"MEYLE";"1001350012";91
4921;"2024";68;"ZF";"1091298066";148
4921;"2024";144;"MEYLE";"1001350105";197
4921;"2024";144;"MEYLE";"11141350001";105
4921;"2024";4342;"TCMATIC";"1051040007";37
4921;"2024";68;"ZF";"1111298031";102
4921;"2024";68;"ZF";"5961308077";14
4921;"2024";144;"MEYLE";"1001350004SK";16
4921;"2024";151;"SWAG";"33108306";116
4921;"2024";162;"VAICO";"V302252";500
4921;"2024";162;"VAICO";"V302252BEK";99
4921;"2024";162;"VAICO";"V302254XXL";585
4921;"2024";162;"VAICO";"V380511XXL";34
4921;"2024";101;"FEBI BILSTEIN";"176896";38
4921;"2024";162;"VAICO";"V250797BEK";15
4921;"2024";151;"SWAG";"33108309";31
4921;"2024";162;"VAICO";"V105540XXL";177
4921;"2024";162;"VAICO";"V302258XXL";243
4921;"2024";4342;"TCMATIC";"1051040004";7
4921;"2024";144;"MEYLE";"3001351009SK";35
4921;"2024";144;"MEYLE";"1001350001SK";76
4921;"2024";144;"MEYLE";"3001350002";64
4921;"2024";4342;"TCMATIC";"1051070001";14
4921;"2024";4342;"TCMATIC";"1051080011";57
4921;"2024";162;"VAICO";"V401604BEK";21
4921;"2024";162;"VAICO";"V303957";199
4921;"2024";162;"VAICO";"V302253SP";72
4921;"2024";144;"MEYLE";"3001351005SK";84
4921;"2024";68;"ZF";"5961308445";47
4921;"2024";162;"VAICO";"V202088XXL";120
4921;"2024";144;"MEYLE";"3001351004SK";83
4921;"2024";162;"VAICO";"V252191XXL";32
4921;"2024";162;"VAICO";"V108007XXL";31
4921;"2024";68;"ZF";"1102298018";39
4921;"2024";162;"VAICO";"V380222";32
4921;"2024";162;"VAICO";"V450138";15
4921;"2024";4342;"TCMATIC";"1051010016";2
4921;"2024";162;"VAICO";"V103222XXL";44
4921;"2024";162;"VAICO";"V105541";130
4921;"2024";144;"MEYLE";"0141351700SK";19
4921;"2024";162;"VAICO";"V202082";51
4921;"2024";162;"VAICO";"V103226XXL";31
4921;"2024";162;"VAICO";"V380222XXL";13
4921;"2024";162;"VAICO";"V202087BEK";1
4921;"2024";6558;"AIC";"74773SET";73
4921;"2024";162;"VAICO";"V220737BEK";80
4921;"2024";162;"VAICO";"V202091XXL";8
4921;"2024";4342;"TCMATIC";"1051040005";1
4921;"2024";4342;"TCMATIC";"1051080010";4
4921;"2024";4342;"TCMATIC";"1051010071";1
4921;"2024";162;"VAICO";"V103214";60
4921;"2024";68;"ZF";"1104298055";11
4921;"2024";4342;"TCMATIC";"1051010004";1
4921;"2024";4342;"TCMATIC";"1051110013";7
4921;"2024";151;"SWAG";"33108307";15
4921;"2024";162;"VAICO";"V204061";3
4921;"2024";4342;"TCMATIC";"1051080008";2
4921;"2024";144;"MEYLE";"1001350012SK";11
4921;"2024";4011;"TECNECO FILTERS";"AT129";6
4921;"2024";6934;"GeBox";"PM0082015";1
4921;"2024";144;"MEYLE";"3001350402XK";19
4921;"2024";162;"VAICO";"V105612";2
4921;"2024";162;"VAICO";"V103224";3
4921;"2024";162;"VAICO";"V103215BEK";15
4921;"2024";144;"MEYLE";"3001350307SK";8
4921;"2024";68;"ZF";"1055298040";3
4921;"2024";162;"VAICO";"V202093XXL";1
4921;"2024";162;"VAICO";"V450288";3
4921;"2024";4342;"TCMATIC";"1051071004";1
4921;"2024";4342;"TCMATIC";"1051010072";1
4921;"2024";4342;"TCMATIC";"1051180003";1
4921;"2024";6558;"AIC";"73971SET";2
4921;"2024";6558;"AIC";"74769SET";1
4921;"2024";101;"FEBI BILSTEIN";"176873";83
4921;"2024";101;"FEBI BILSTEIN";"171783";1553
4921;"2024";68;"ZF";"5961303474";3545
4921;"2024";162;"VAICO";"V302377BEK";3222
4921;"2024";162;"VAICO";"V302254";1731
4921;"2024";144;"MEYLE";"0141350201";2677
4921;"2024";162;"VAICO";"V252191";101
4921;"2024";144;"MEYLE";"1001350200";1004
4921;"2024";144;"MEYLE";"0141351410";1008
4921;"2024";144;"MEYLE";"3001350310";32
4921;"2024";162;"VAICO";"V330533";162
4921;"2024";144;"MEYLE";"1001350112";46
4921;"2024";68;"ZF";"5961308602";286
4921;"2024";68;"ZF";"1071298027";752
4921;"2024";162;"VAICO";"V103218";248
4921;"2024";68;"ZF";"5961308371";506
4921;"2024";4342;"TCMATIC";"1051050001";26
4921;"2024";144;"MEYLE";"1001350107";166
